Constraint;Support;Confidence;Recall;Lovinger;Specificity;Accuracy;Lift;Leverage;Compliance;Odds Ratio;Gini Index;Certainty factor;Coverage;Prevalence;Added Value;Relative Risk;Jaccard;Ylue Q;Ylue Y;Klosgen;Conviction;Interestingness Weighting Dependency;Collective Strength;Laplace Correction;J Measure;One-way Support;Two-way Support;Two-way Support Variation;Linear Correlation Coefficient;Piatetsky-Shapiro;Cosine;Information Gain;Sebag-Schoenauer;Least Contradiction;Odd Multiplier;Example and Counterexample Rate;Zhang
NotSuccession(Execute Payment,Start Claim);0.15865767;1.0;1.0;-Infinity;1.0;0.99999875;6.3028784;0.97482777;1.0;Infinity;0.26697168;1.0;0.15865767;0.15865767;0.84134233;Infinity;1.0;1.0;1.0;0.33512226;Infinity;0.97482777;-2.6597533;0.98803115;NaN;2.6560109;0.4213965;NaN;1.0000014;0.1334854;1.0;1.8410064;Infinity;1.0;Infinity;1.0;1.0000014
CoExistence(Payment Order,Accept Claim);0.109392285;0.46381888;1.0;-0.6610137;1.0;0.87353843;4.2399597;0.43801856;0.8735408;Infinity;0.077545136;0.3979604;0.2358513;0.109392285;0.3544266;Infinity;0.4638189;1.0;1.0;0.2527384;1.6610137;0.20316128;-4.2160196;0.4644061;0.093854114;0.966622;0.22797905;NaN;0.6308429;0.08359197;0.6810425;1.4445537;0.86504036;-0.1560154;7.042631;-0.1560154;0.85801053
NotSuccession(Payment Order,Accept Claim);0.12645917;0.53618175;1.0;-0.88336563;1.0;0.89060533;4.2399597;0.5063562;0.8906077;Infinity;0.10362449;0.46903655;0.2358513;0.12645917;0.40972257;Infinity;0.53618175;1.0;1.0;0.27173966;1.8833656;0.27149898;-3.8661554;0.5355946;0.11342515;1.1174299;0.2635473;NaN;0.6848637;0.096633606;0.7322443;1.4445537;1.1560154;0.13495962;7.985394;0.13495964;0.8747719
Succession(Payment Order,Execute Payment);0.21335337;0.62785655;1.0;-1.1138151;1.0;0.873539;2.9428012;0.55535644;0.8735408;Infinity;0.17687348;0.52692425;0.33981228;0.21335337;0.4145032;Infinity;0.6278565;1.0;1.0;0.30494195;2.113815;0.3486842;-3.9221997;0.62640905;0.13563152;0.977692;0.33223176;NaN;0.7258978;0.14085327;0.792374;1.0793619;1.6871325;0.40727833;6.2205377;0.4072783;0.83924586
AlternatePrecedence(Payment Order,Execute Payment);0.054696143;0.34474313;0.098873384;0.31811655;0.40749708;0.39754018;0.6231869;0.2569747;0.89603895;0.36184147;0.016388629;-0.46653488;0.15865767;0.5531938;-0.20845068;0.5818397;0.08323168;-0.46859977;-0.24880381;-0.013981874;0.68188345;-0.0018298181;0.99401677;0.34845963;0.0139400335;-0.23520556;-0.037317168;0.023933437;-0.18207456;-0.0330723;0.18462372;-0.47290882;0.5261215;-0.08905541;0.42494085;-0.9007015;-0.57506436
NotSuccession(Payment Order,Receive Claim);0.1809612;0.9978544;1.0;-380.72913;1.0;0.99960977;5.5141897;0.96503705;0.9996109;Infinity;0.2956527;0.9973804;0.1813503;0.1809612;0.8168932;Infinity;0.9978544;1.0;1.0;0.3482498;381.72913;0.9629665;-2.7528503;0.98739684;0.30664644;2.457864;0.4457344;NaN;0.9986906;0.14814383;0.99892664;1.7073247;465.0703;0.9978498;2104.9268;0.99784976;0.99952626
NotSuccession(Payment Order,Start Claim);0.18115577;1.0;1.0;-Infinity;1.0;0.9999988;5.5201116;0.9671826;1.0;Infinity;0.29667747;1.0;0.18115577;0.18115577;0.8188442;Infinity;1.0;1.0;1.0;0.3485197;Infinity;0.9671827;-2.7503462;0.98948634;NaN;2.4646974;0.44649416;NaN;1.0000014;0.14833836;1.0;1.7083981;Infinity;1.0;Infinity;1.0;1.0000014
AlternateResponse(Receive Claim,Accept Claim);0.0;0.0;0.0;0.10939479;0.8905839;0.89041066;0.0;-2.1282545E-5;0.99980545;0.0;4.614635E-6;-0.12282881;1.9455253E-4;0.109392285;-0.109392285;0.0;0.0;-1.0;-1.0;-0.0;0.8906052;-0.0;1.0013403;0.4761905;NaN;NaN;NaN;NaN;-0.004888903;-2.1282545E-5;0.0;-Infinity;0.0;-0.0017784849;0.0;-Infinity;-1.0
Precedence(Receive Claim,Accept Claim);0.0;0.0;0.0;7.7825785E-4;0.9991768;0.9445243;0.0;-4.256509E-5;0.94530386;0.0;-1.1308038E-6;-7.788162E-4;0.054696143;7.782101E-4;-7.782101E-4;0.0;0.0;-1.0;-1.0;-0.0;0.99922174;-0.0;71.174;0.03320735;NaN;NaN;NaN;NaN;-0.006712904;-4.256509E-5;0.0;-Infinity;0.0;-70.284546;0.0;-Infinity;-1.0
AlternateResponse(Receive Claim,Execute Payment);1.9455253E-4;1.0;5.229757E-4;-Infinity;0.6281123;0.6281847;2.6880953;0.99992764;1.0;Infinity;1.5346476E-4;1.0;1.9455253E-4;0.37201065;0.62798935;2.6889787;5.229757E-4;1.0;1.0;0.008759326;Infinity;2.3565295E-7;1.0015703;0.52380955;NaN;1.4265842;2.775456E-4;NaN;0.018124202;1.2217692E-4;0.022868663;0.9888329;Infinity;5.229757E-4;Infinity;1.0;0.9999988
