Constraint;Support;Confidence;Recall;Lovinger;Specificity;Accuracy;Lift;Leverage;Compliance;Odds Ratio;Gini Index;Certainty factor;Coverage;Prevalence;Added Value;Relative Risk;Jaccard;Ylue Q;Ylue Y;Klosgen;Conviction;Interestingness Weighting Dependency;Collective Strength;Laplace Correction;J Measure;One-way Support;Two-way Support;Two-way Support Variation;Linear Correlation Coefficient;Piatetsky-Shapiro;Cosine;Information Gain;Sebag-Schoenauer;Least Contradiction;Odd Multiplier;Example and Counterexample Rate;Zhang
NotSuccession(Accept Claim,Block Claim 2);0.1772647;1.0;1.0;-Infinity;1.0;0.9999988;5.641281;0.9685772;1.0;Infinity;0.29168463;1.0;0.1772647;0.1772647;0.8227353;Infinity;1.0;1.0;1.0;0.34639472;Infinity;0.9685773;-2.734898;0.9892605;NaN;2.496023;0.44245675;NaN;1.0000014;0.14584193;1.0;1.7301112;Infinity;1.0;Infinity;1.0;1.0000014
NotCoExistence(Accept Claim,Block Claim 2);0.1772647;1.0;1.0;-Infinity;1.0;0.9999988;5.641281;0.9685772;1.0;Infinity;0.29168463;1.0;0.1772647;0.1772647;0.8227353;Infinity;1.0;1.0;1.0;0.34639472;Infinity;0.9685773;-2.734898;0.9892605;NaN;2.496023;0.44245675;NaN;1.0000014;0.14584193;1.0;1.7301112;Infinity;1.0;Infinity;1.0;1.0000014
NotSuccession(Accept Claim,Block Claim 3);0.05574997;0.90761894;1.0;-9.221245;1.0;0.99432397;16.280169;0.90419453;0.9943256;Infinity;0.09498456;0.90216464;0.061424423;0.05574997;0.851869;Infinity;0.90761894;1.0;1.0;0.22161113;10.221245;0.82066405;-2.3484123;0.8833359;0.14234944;3.6532059;0.22439608;NaN;0.94982505;0.05232556;0.95269036;2.7899477;9.8247385;0.8982161;166.40358;0.8982161;0.99399203
NotCoExistence(Accept Claim,Block Claim 3);0.05574997;0.90761894;1.0;-9.221245;1.0;0.99432397;16.280169;0.90419453;0.9943256;Infinity;0.09498456;0.90216464;0.061424423;0.05574997;0.851869;Infinity;0.90761894;1.0;1.0;0.22161113;10.221245;0.82066405;-2.3484123;0.8833359;0.14234944;3.6532059;0.22439608;NaN;0.94982505;0.05232556;0.95269036;2.7899477;9.8247385;0.8982161;166.40358;0.8982161;0.99399203
NotSuccession(Accept Claim,Correct Claim);0.05586346;1.0;1.0;-Infinity;1.0;0.99999857;17.90079;0.9968793;1.0;Infinity;0.10548672;1.0;0.05586346;0.05586346;0.94413656;Infinity;1.0;1.0;1.0;0.22315094;Infinity;0.9968793;-2.2289357;0.9674414;NaN;4.161951;0.232501;NaN;1.0000015;0.052742735;1.0;2.8848448;Infinity;1.0;Infinity;1.0;1.0000015
NotCoExistence(Accept Claim,Correct Claim);0.05586346;1.0;1.0;-Infinity;1.0;0.99999857;17.90079;0.9968793;1.0;Infinity;0.10548672;1.0;0.05586346;0.05586346;0.94413656;Infinity;1.0;1.0;1.0;0.22315094;Infinity;0.9968793;-2.2289357;0.9674414;NaN;4.161951;0.232501;NaN;1.0000015;0.052742735;1.0;2.8848448;Infinity;1.0;Infinity;1.0;1.0000015
CoExistence(Accept Claim,Execute Payment);0.21335337;1.0;1.0;-Infinity;1.0;0.9999974;4.68706;0.95448035;1.0;Infinity;0.3356689;1.0;0.21335337;0.21335337;0.7866466;Infinity;1.0;1.0;1.0;0.36335355;Infinity;0.95448035;-2.8735538;0.9910445;NaN;2.2286832;0.47549707;NaN;1.0000033;0.16783372;1.0;1.5448055;Infinity;1.0;Infinity;1.0;1.0000033
Succession(Accept Claim,Execute Payment);0.21335337;1.0;1.0;-Infinity;1.0;0.9999974;4.68706;0.95448035;1.0;Infinity;0.3356689;1.0;0.21335337;0.21335337;0.7866466;Infinity;1.0;1.0;1.0;0.36335355;Infinity;0.95448035;-2.8735538;0.9910445;NaN;2.2286832;0.47549707;NaN;1.0000033;0.16783372;1.0;1.5448055;Infinity;1.0;Infinity;1.0;1.0000033
RespondedExistence(Accept Claim,Execute Payment);0.054696143;1.0;0.112906896;-Infinity;0.54539603;0.57026035;2.064257;0.97350323;1.0;Infinity;0.030759158;1.0;0.054696143;0.4844358;0.5155642;2.1997163;0.112906896;1.0;1.0;0.12057606;Infinity;0.009756298;1.4196231;0.96679264;NaN;1.0456226;0.05719152;NaN;0.2481511;0.028199373;0.3360162;0.7247703;Infinity;0.112906896;Infinity;1.0;1.0
Response(Accept Claim,Execute Payment);0.054696143;1.0;0.113572076;-Infinity;0.5483975;0.57309765;2.0764184;0.97365844;1.0;Infinity;0.031098802;1.0;0.054696143;0.48159853;0.5184015;2.214335;0.11357207;1.0;1.0;0.12123963;Infinity;0.009906949;1.4230427;0.96679264;NaN;1.0540972;0.05765505;NaN;0.24956489;0.028354561;0.33700457;0.73064446;Infinity;0.113572076;Infinity;1.0;0.99999994
